index,r,l,t
757,-1639.637546,181,64977.99739599228
758,-1526.000366,5,64989.71828007698
759,-1579.011955,109,65108.443664073944
760,-1534.902197,7,65122.165997982025
761,-1583.409006,29,65158.54071998596
762,-1587.043037,77,65253.297363996506
763,-1518.459209,7,65267.0578660965
764,-1567.148259,69,65344.50154709816
765,-1827.943711,691,66076.86458802223
766,-1591.023636,91,66176.9890229702
767,-1552.023136,15,66208.00343489647
768,-1537.663059,21,66236.09229207039
769,-1535.141181,13,66265.04264092445
770,-1571.264211,105,66388.61188101768
771,-1564.173658,65,66471.0489499569
772,-1636.328331,69,66548.62036299706
773,-1600.172817,37,66593.18509602547
774,-1665.176606,103,66714.77439498901
775,-1517.009744,3,66733.42181110382
776,-1525.033536,5,66754.15532302856
777,-1531.327182,11,66772.00741696358
778,-1573.606115,15,66793.95293402672
779,-1611.733282,277,67085.34290003777
780,-1700.306135,217,67324.15709710121
781,-1589.371909,51,67383.15271091461
782,-1566.665749,27,67417.43938398361
783,-1537.527825,15,67448.4304471016
784,-1550.099648,13,67468.40354990959
785,-1515.974952,3,67487.06195807457
786,-1520.555284,3,67496.69537901878
787,-1700.631947,145,67652.45625209808
788,-1585.412474,41,67710.23459291458
789,-1616.604048,123,67843.33769893646
