index,r,l,t
426,-4589.28068,1453,137753.428565979
427,-3843.87462,1135,138928.82297992706
428,-3263.589378,883,139845.420855999
429,-13827.450315,4001,143963.1688940525
430,-13975.319956,4001,148078.08721590042
431,-3857.205261,861,148967.41542196274
432,-3406.06628,875,149884.97256088257
433,-5293.054745,1749,151690.66319799423
434,-2767.219014,653,152371.05973911285
435,-1608.852233,173,152558.36618709564
436,-4878.557585,1003,153598.45218205452
437,-3841.686718,989,154632.45605492592
438,-1047.2417,21,154672.59413790703
439,1594.715446,158,154852.73584103584
440,-294.314613,498,155367.99910402298
441,-2921.669812,527,155914.02046704292
442,-2410.931789,387,156330.2205080986
443,1159.703299,284,156630.9950890541
444,-2047.342187,293,156936.52794098854
445,-5830.546616,1473,158468.27297902107
446,-1015.847007,3,158480.90162706375
447,-4851.756071,1043,159562.15966010094
448,-3844.475662,967,160555.33770489693
449,-8091.398886,2089,162676.16655993462
450,973.225491,354,163042.94424295425
451,-2600.787427,407,163458.82470798492
