index,r,l,t
453,-549.933292,17,45911.433753967285
454,-1054.564107,203,46018.16761493683
455,-631.201629,39,46056.5475358963
456,-1437.84465,333,46244.62116289139
457,-2235.4563,754,46633.76923894882
458,-10748.931377,2408,47763.61136007309
459,-671.427583,81,47822.938287973404
460,-547.585428,11,47838.021886110306
461,-903.526237,208,47921.76149106026
462,-2670.329537,1098,48379.74677991867
463,-879.725532,357,48542.04598903656
464,-4938.94264,1606,49187.29715704918
465,-583.120847,37,49210.46315693855
466,-525.099731,7,49223.51553297043
467,-539.861216,9,49237.55806493759
468,-1153.71521,305,49409.69452500343
469,-544.166228,13,49425.76161599159
470,-2293.423626,901,49822.56409096718
471,-818.456108,145,49896.06405591965
472,-527.04906,11,49911.13659000397
473,-10075.949643,3601,51421.53261089325
474,984.409271,12,51434.62070894241
475,-539.389564,12,51442.70075201988
476,-588.213019,24,51461.90741300583
477,-513.692888,3,51473.9746260643
478,-579.275622,69,51509.528003931046
479,-591.670831,46,51531.86277103424
480,-2098.682286,480,51784.00784492493
481,-1365.940864,375,51991.60467290878
482,-528.327845,13,52007.66296195984
483,-526.284365,9,52021.71330189705
484,-510.260349,3,52033.738562107086
485,-918.117476,168,52128.23468208313
486,-1505.589655,384,52282.34685611725
487,-854.34232,144,52353.753896951675
488,-953.436072,278,52463.51111006737
489,-1034.221125,261,52583.318542957306
490,-1622.609874,622,52884.318034887314
491,-521.999742,5,52905.38741898537
492,-543.818339,13,52921.45423388481
493,-764.825479,127,52994.813334941864
494,-1383.143155,419,53194.053554058075
495,-533.902008,7,53207.10266494751
496,-539.814438,11,53222.172584056854
497,236.858727,366,53367.23575806618
498,-2883.451922,656,53658.86858510971
499,-538.596544,11,53683.02493906021
500,-523.124769,7,53696.13678908348
501,-534.301176,9,53710.2733540535
502,-690.08306,75,53757.951875925064
503,-550.931779,17,53776.14012289047
504,-2227.318142,601,54091.483381032944
505,-531.211564,7,54104.58398890495
506,-1277.638136,370,54276.41886091232
507,-2535.053939,601,54591.70553088188
508,-571.162991,27,54614.9688410759
509,-558.078231,21,54635.17432689667
510,-571.277529,23,54656.426110982895
511,-3417.132059,671,55008.40920996666
512,-540.173997,11,55023.54291296005
513,-3632.376488,1167,55548.48111510277
514,-544.285389,9,55562.54892897606
515,-1002.989764,249,55676.38110208511
516,-853.125784,136,55739.726788043976
517,-1340.398111,349,55890.74979400635
518,-1098.725076,930,56265.34399199486
519,-557.189199,69,56291.5600669384
520,-5660.088797,1300,56842.01676988602
521,-616.295815,31,56865.20955300331
522,-3786.051645,932,57296.93060088158
523,-578.500958,19,57316.01614308357
524,-997.237749,157,57405.55556797981
525,995.591043,1,57416.57369399071
526,-2393.258484,685,57700.39943599701
527,-528.719001,7,57713.43989992142
528,-520.54411,9,57727.49566102028
529,-551.016045,23,57748.58497095108
530,-3109.407881,834,58122.035619974136
531,-1023.592533,224,58228.72306609154
532,-590.584222,34,58247.84270811081
533,-553.966423,17,58265.9233880043
534,-667.824075,40,58286.08235692978
535,-515.975917,5,58307.1783618927
536,-1545.248212,534,58544.644907951355
537,-1314.004609,378,58703.15063905716
538,-521.14741,7,58716.230623960495
539,-527.901354,13,58732.37104201317
540,-592.34157,41,58762.80505800247
541,-516.935986,5,58783.90281510353
542,-978.080843,243,58893.60368990898
543,-603.442294,29,58911.7022190094
544,-4516.037433,1382,59499.381376981735
545,-11075.455302,3043,60763.902127981186
546,-2851.638591,928,61117.526720047
547,-4490.132956,1455,61761.15391302109
548,-633.100125,59,61798.318027973175
549,-875.360113,137,61873.700670957565
550,-592.567815,29,61897.79774188995
551,-625.103496,53,61933.950114011765
552,-552.167075,17,61952.04451107979
553,-1212.029792,337,62100.89155507088
554,-657.772005,82,62141.09781289101
555,-634.194806,80,62188.43919801712
556,-972.99711,164,62261.983052015305
557,-2196.01409,529,62498.66369199753
558,-547.824359,17,62516.725549936295
559,-1711.274509,761,62837.77490711212
560,-726.556474,199,62922.30592608452
561,-4768.009465,1086,63405.65983700752
562,-2305.071831,277,63564.98229289055
563,-556.614495,9,63579.041858911514
564,-527.317631,9,63593.09591507912
565,-5723.924914,1663,64243.42634701729
566,-524.388275,5,64264.516824007034
567,-540.698251,13,64280.58116889
568,-533.576105,19,64299.658087968826
569,-533.237859,13,64315.71315097809
570,-635.464057,63,64356.896961927414
571,-3487.654132,632,64631.58128595352
572,-552.968562,13,64647.655124902725
573,-2776.399344,677,64944.42099189758
574,-1604.940396,588,65203.987323999405
575,-880.451549,229,65286.585736989975
576,-3248.401457,880,65658.77559709549
577,333.109625,391,65834.80913496017
578,-14534.928824,2678,66910.7663230896
579,-558.414844,14,66924.84486198425
580,-744.746595,115,66984.17611289024
581,-2134.995306,497,67184.49517607689
582,-532.6098,9,67198.5404419899
583,-541.633045,11,67213.59037590027
584,-1049.870409,361,67360.62808609009
585,-1061.899022,274,67495.39966702461
586,-550.739567,15,67512.45928502083
587,-2807.389712,958,67944.38548707962
588,-572.216238,21,67964.63408303261
589,-551.228302,21,67993.91735005379
590,-573.414852,21,68014.07935810089
591,-509.858045,3,68026.14362001419
592,-540.290133,10,68041.29384088516
593,886.72328,78,68089.9896979332
594,-523.888096,5,68097.01597499847
595,-575.755445,25,68119.27969288826
596,-5503.389152,937,68600.97936201096
597,-659.755971,53,68637.3620390892
598,-592.486362,99,68697.0946919918
599,-1407.556328,255,68836.28316903114
600,-580.238213,19,68855.49863910675
601,-1183.519618,342,69027.40663909912
602,-569.011704,37,69051.72601389885
603,-1322.050738,200,69160.51073503494
604,-3975.754985,1206,69750.82136702538
605,-524.06853,7,69763.92462301254
606,-727.484289,93,69820.74475097656
607,-516.639617,3,69832.8175740242
608,-1763.291867,500,70097.14452004433
609,-1374.903928,305,70270.85365200043
610,-1381.227144,155,70359.15407204628
611,-578.428008,17,70377.34220099449
612,-1046.510658,191,70484.09020590782
613,-696.978056,77,70541.92860794067
614,-5044.413632,569,70841.71538901329
615,-1710.289324,290,70995.97016310692
616,-646.263195,41,71017.08689498901
617,-544.702313,11,71032.13087701797
618,-13771.157834,1887,71801.94163489342
619,-737.323287,86,71845.17728495598
620,-693.034113,76,71877.41440105438
621,-3768.335132,832,72242.79236793518
622,-559.226729,17,72260.86368393898
623,-518.468929,7,72273.9060139656
624,-530.702367,17,72291.97283601761
625,-7473.755987,1774,72998.53991007805
626,-547.258277,9,73012.59006500244
627,-524.0661,7,73025.62744808197
628,-644.092289,83,73076.87429690361
629,-571.784568,35,73102.00830793381
630,-1722.586139,643,73379.64839410782
631,-532.593146,7,73392.69283509254
632,-563.157618,35,73419.81331300735
633,-779.322168,115,73488.12507796288
634,-550.631796,13,73504.1853299141
635,-540.23444,11,73519.24119091034
636,-13769.844496,3490,74935.5556409359
637,-681.738977,42,74958.67550206184
638,-1142.694547,349,75132.66690397263
639,-527.158011,31,75157.76278305054
640,-620.138429,55,75194.94752001762
641,998.391028,1,75214.99217796326
642,-617.394457,29,75233.07691693306
